,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
189,1998 to 1999,Non Observed,14.0,14.0,0.0,154.0,29.0
190,1998 to 1999,Other Non Vegetated Area,843.0,0.0,843.0,354.0,21.0
191,1998 to 1999,Pasture,1545204.0,1545204.0,0.0,794686.0,55141.0
192,1998 to 1999,"River, Lake and Ocean",307706.0,307706.0,0.0,83012.0,326.0
193,1998 to 1999,Salt flat,148.0,148.0,0.0,215.0,4.0
194,1998 to 1999,Urban Infrastructure,4345.0,4345.0,0.0,8.0,1.0
195,1998 to 1999,Wetland,0.0,0.0,0.0,0.0,0.0
196,1999 to 2000,Agriculture,174851.0,174851.0,0.0,21962.0,121.0
197,1999 to 2000,Beach and Dune,36.0,36.0,0.0,40.0,0.0
198,1999 to 2000,Forest Plantation,5787.0,0.0,5787.0,3621.0,1509.0
199,1999 to 2000,Grassland,10241.0,0.0,10241.0,309126.0,75240.0
200,1999 to 2000,Mining,118.0,118.0,0.0,8.0,2.0
201,1999 to 2000,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
202,1999 to 2000,Natural Forest,1381675.0,0.0,1381675.0,1032007.0,27627.0
203,1999 to 2000,Non Observed,64.0,0.0,64.0,215.0,17.0
204,1999 to 2000,Other Non Vegetated Area,108.0,108.0,0.0,350.0,14.0
205,1999 to 2000,Pasture,1144441.0,1144441.0,0.0,877842.0,171874.0
206,1999 to 2000,"River, Lake and Ocean",72892.0,72892.0,0.0,140694.0,25064.0
207,1999 to 2000,Salt flat,1145.0,0.0,1145.0,477.0,0.0
208,1999 to 2000,Urban Infrastructure,6465.0,6465.0,0.0,7.0,0.0
209,1999 to 2000,Wetland,0.0,0.0,0.0,0.0,-0.0
210,2000 to 2001,Agriculture,40594.0,40594.0,0.0,54295.0,11168.0
211,2000 to 2001,Beach and Dune,19.0,0.0,19.0,76.0,6.0
212,2000 to 2001,Forest Plantation,4760.0,0.0,4760.0,2097.0,1284.0
213,2000 to 2001,Grassland,8595.0,0.0,8595.0,304698.0,47896.0
214,2000 to 2001,Mining,152.0,152.0,0.0,30.0,19.0
215,2000 to 2001,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
216,2000 to 2001,Natural Forest,1215167.0,0.0,1215167.0,1126242.0,63654.0
217,2000 to 2001,Non Observed,46.0,0.0,46.0,208.0,9.0
218,2000 to 2001,Other Non Vegetated Area,10.0,10.0,0.0,253.0,116.0
219,2000 to 2001,Pasture,1255585.0,1255585.0,0.0,954747.0,39011.0
220,2000 to 2001,"River, Lake and Ocean",70773.0,0.0,70773.0,154581.0,63.0
221,2000 to 2001,Salt flat,1203.0,0.0,1203.0,154.0,2.0
222,2000 to 2001,Urban Infrastructure,4223.0,4223.0,0.0,7.0,2.0
223,2000 to 2001,Wetland,0.0,0.0,0.0,0.0,0.0
224,2001 to 2002,Agriculture,255809.0,255809.0,0.0,50405.0,176.0
225,2001 to 2002,Beach and Dune,30.0,0.0,30.0,45.0,1.0
226,2001 to 2002,Forest Plantation,7971.0,0.0,7971.0,2574.0,435.0
227,2001 to 2002,Grassland,239719.0,239719.0,0.0,385837.0,74482.0
228,2001 to 2002,Mining,414.0,414.0,0.0,16.0,0.0
229,2001 to 2002,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
230,2001 to 2002,Natural Forest,2121385.0,0.0,2121385.0,1307720.0,203601.0
231,2001 to 2002,Non Observed,56.0,0.0,56.0,187.0,75.0
232,2001 to 2002,Other Non Vegetated Area,444.0,0.0,444.0,1.0,-0.0
233,2001 to 2002,Pasture,2074681.0,2074681.0,0.0,1097452.0,149704.0
234,2001 to 2002,"River, Lake and Ocean",441035.0,0.0,441035.0,185044.0,182.0
235,2001 to 2002,Salt flat,2106.0,0.0,2106.0,78.0,1.0
236,2001 to 2002,Urban Infrastructure,2404.0,2404.0,0.0,9.0,1.0
237,2001 to 2002,Wetland,0.0,0.0,0.0,0.0,0.0
238,2002 to 2003,Agriculture,183730.0,183730.0,0.0,31768.0,87.0
239,2002 to 2003,Beach and Dune,9.0,0.0,9.0,41.0,17.0
240,2002 to 2003,Forest Plantation,940.0,940.0,0.0,3746.0,1228.0
241,2002 to 2003,Grassland,247552.0,0.0,247552.0,424131.0,6671.0
242,2002 to 2003,Mining,127.0,127.0,0.0,24.0,1.0
243,2002 to 2003,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
244,2002 to 2003,Natural Forest,2290185.0,0.0,2290185.0,1728308.0,1.0
245,2002 to 2003,Non Observed,303.0,0.0,303.0,160.0,103.0
246,2002 to 2003,Other Non Vegetated Area,1349.0,1349.0,0.0,0.0,0.0
247,2002 to 2003,Pasture,1923825.0,1923825.0,0.0,1420820.0,133278.0
248,2002 to 2003,"River, Lake and Ocean",426375.0,426375.0,0.0,146580.0,10945.0
249,2002 to 2003,Salt flat,325.0,0.0,325.0,191.0,33.0
250,2002 to 2003,Urban Infrastructure,2027.0,2027.0,0.0,10.0,0.0
251,2002 to 2003,Wetland,0.0,0.0,0.0,0.0,0.0
252,2003 to 2004,Agriculture,710790.0,710790.0,0.0,28592.0,201.0
253,2003 to 2004,Beach and Dune,18.0,18.0,0.0,49.0,11.0
254,2003 to 2004,Forest Plantation,1943.0,1943.0,0.0,1778.0,623.0
255,2003 to 2004,Grassland,87330.0,0.0,87330.0,274072.0,23040.0
256,2003 to 2004,Mining,159.0,159.0,0.0,12.0,5.0
257,2003 to 2004,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
258,2003 to 2004,Natural Forest,1870086.0,0.0,1870086.0,1055825.0,36606.0
259,2003 to 2004,Non Observed,862.0,0.0,862.0,189.0,26.0
260,2003 to 2004,Other Non Vegetated Area,833.0,0.0,833.0,319.0,42.0
261,2003 to 2004,Pasture,1158329.0,1158329.0,0.0,878935.0,526206.0
