,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
187,1997 to 1998,Natural Forest,15223.0,0.0,15223.0,29198.0,240.0
188,1997 to 1998,Non Observed,2.0,2.0,0.0,7.0,4.0
189,1997 to 1998,Other Non Vegetated Area,180.0,180.0,0.0,4771.0,734.0
190,1997 to 1998,Pasture,0.0,0.0,0.0,0.0,0.0
191,1997 to 1998,"River, Lake and Ocean",13417.0,13417.0,0.0,6619.0,243.0
192,1997 to 1998,Rocky outcrop,75.0,75.0,0.0,60.0,14.0
193,1997 to 1998,Urban Infrastructure,616.0,616.0,0.0,3.0,0.0
194,1997 to 1998,Wetland,401.0,0.0,401.0,2015.0,362.0
195,1998 to 1999,Agriculture,116580.0,116580.0,0.0,126510.0,1120.0
196,1998 to 1999,Aquaculture,0.0,0.0,0.0,0.0,0.0
197,1998 to 1999,Beach and Dune,133.0,0.0,133.0,78.0,10.0
198,1998 to 1999,Forest Plantation,2056.0,2056.0,0.0,449.0,1.0
199,1998 to 1999,Grassland,101026.0,0.0,101026.0,135069.0,4142.0
200,1998 to 1999,Mining,2.0,2.0,0.0,0.0,0.0
201,1998 to 1999,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,-0.0
202,1998 to 1999,Natural Forest,14393.0,0.0,14393.0,21603.0,266.0
203,1998 to 1999,Non Observed,0.0,0.0,0.0,10.0,10.0
204,1998 to 1999,Other Non Vegetated Area,1358.0,0.0,1358.0,4842.0,406.0
205,1998 to 1999,Pasture,0.0,0.0,0.0,0.0,0.0
206,1998 to 1999,"River, Lake and Ocean",2947.0,0.0,2947.0,4935.0,72.0
207,1998 to 1999,Rocky outcrop,67.0,67.0,0.0,75.0,0.0
208,1998 to 1999,Urban Infrastructure,967.0,967.0,0.0,2.0,0.0
209,1998 to 1999,Wetland,185.0,185.0,0.0,772.0,1084.0
210,1999 to 2000,Agriculture,42876.0,42876.0,0.0,159129.0,5022.0
211,1999 to 2000,Aquaculture,7.0,7.0,0.0,0.0,0.0
212,1999 to 2000,Beach and Dune,61.0,0.0,61.0,126.0,35.0
213,1999 to 2000,Forest Plantation,1677.0,1677.0,0.0,351.0,0.0
214,1999 to 2000,Grassland,58227.0,0.0,58227.0,157094.0,1068.0
215,1999 to 2000,Mining,1.0,1.0,0.0,0.0,0.0
216,1999 to 2000,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
217,1999 to 2000,Natural Forest,4839.0,4839.0,0.0,19987.0,4411.0
218,1999 to 2000,Non Observed,3.0,0.0,3.0,14.0,3.0
219,1999 to 2000,Other Non Vegetated Area,3504.0,0.0,3504.0,2235.0,95.0
220,1999 to 2000,Pasture,0.0,0.0,0.0,0.0,0.0
221,1999 to 2000,"River, Lake and Ocean",9901.0,9901.0,0.0,3117.0,16.0
222,1999 to 2000,Rocky outcrop,21.0,0.0,21.0,103.0,23.0
223,1999 to 2000,Urban Infrastructure,687.0,687.0,0.0,1.0,0.0
224,1999 to 2000,Wetland,1829.0,1829.0,0.0,804.0,209.0
225,2000 to 2001,Agriculture,72589.0,0.0,72589.0,225181.0,1155.0
226,2000 to 2001,Aquaculture,0.0,0.0,0.0,0.0,0.0
227,2000 to 2001,Beach and Dune,924.0,0.0,924.0,86.0,4.0
228,2000 to 2001,Forest Plantation,1176.0,1176.0,0.0,633.0,189.0
229,2000 to 2001,Grassland,61939.0,61939.0,0.0,231390.0,6808.0
230,2000 to 2001,Mining,1.0,0.0,1.0,0.0,1.0
231,2000 to 2001,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
232,2000 to 2001,Natural Forest,8605.0,8605.0,0.0,32377.0,1238.0
233,2000 to 2001,Non Observed,1.0,0.0,1.0,7.0,6.0
234,2000 to 2001,Other Non Vegetated Area,2971.0,0.0,2971.0,2721.0,1018.0
235,2000 to 2001,Pasture,0.0,0.0,0.0,0.0,0.0
236,2000 to 2001,"River, Lake and Ocean",1357.0,0.0,1357.0,5106.0,1706.0
237,2000 to 2001,Rocky outcrop,129.0,0.0,129.0,64.0,1.0
238,2000 to 2001,Urban Infrastructure,684.0,684.0,0.0,2.0,0.0
239,2000 to 2001,Wetland,5566.0,5566.0,0.0,1164.0,198.0
240,2001 to 2002,Agriculture,87992.0,87992.0,0.0,115103.0,2262.0
241,2001 to 2002,Aquaculture,0.0,0.0,0.0,0.0,0.0
242,2001 to 2002,Beach and Dune,288.0,0.0,288.0,220.0,6.0
243,2001 to 2002,Forest Plantation,27.0,27.0,0.0,517.0,345.0
244,2001 to 2002,Grassland,88625.0,0.0,88625.0,118384.0,260.0
245,2001 to 2002,Mining,3.0,3.0,0.0,1.0,0.0
246,2001 to 2002,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
247,2001 to 2002,Natural Forest,6295.0,0.0,6295.0,21860.0,1838.0
248,2001 to 2002,Non Observed,3.0,3.0,0.0,6.0,13.0
249,2001 to 2002,Other Non Vegetated Area,741.0,0.0,741.0,2291.0,976.0
250,2001 to 2002,Pasture,0.0,0.0,0.0,0.0,-0.0
251,2001 to 2002,"River, Lake and Ocean",9418.0,9418.0,0.0,3102.0,9.0
252,2001 to 2002,Rocky outcrop,28.0,28.0,0.0,52.0,0.0
253,2001 to 2002,Urban Infrastructure,499.0,499.0,0.0,2.0,0.0
254,2001 to 2002,Wetland,2021.0,0.0,2021.0,1381.0,63.0
255,2002 to 2003,Agriculture,152288.0,152288.0,0.0,141879.0,1226.0
256,2002 to 2003,Aquaculture,1.0,0.0,1.0,0.0,0.0
257,2002 to 2003,Beach and Dune,249.0,0.0,249.0,133.0,59.0
258,2002 to 2003,Forest Plantation,416.0,416.0,0.0,689.0,92.0
259,2002 to 2003,Grassland,146089.0,0.0,146089.0,147474.0,1979.0
260,2002 to 2003,Mining,8.0,8.0,0.0,0.0,1.0
261,2002 to 2003,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
262,2002 to 2003,Natural Forest,4597.0,0.0,4597.0,32785.0,1584.0
263,2002 to 2003,Non Observed,2.0,0.0,2.0,10.0,5.0
264,2002 to 2003,Other Non Vegetated Area,4440.0,4440.0,0.0,2102.0,147.0
265,2002 to 2003,Pasture,0.0,0.0,0.0,0.0,0.0
266,2002 to 2003,"River, Lake and Ocean",4535.0,0.0,4535.0,5740.0,702.0
267,2002 to 2003,Rocky outcrop,85.0,0.0,85.0,29.0,41.0
268,2002 to 2003,Urban Infrastructure,362.0,362.0,0.0,2.0,-0.0
269,2002 to 2003,Wetland,1958.0,0.0,1958.0,1298.0,488.0
270,2003 to 2004,Agriculture,218615.0,218615.0,0.0,124556.0,781.0
271,2003 to 2004,Aquaculture,0.0,0.0,0.0,0.0,0.0
272,2003 to 2004,Beach and Dune,71.0,0.0,71.0,166.0,167.0
273,2003 to 2004,Forest Plantation,291.0,0.0,291.0,1114.0,163.0
274,2003 to 2004,Grassland,179727.0,0.0,179727.0,127196.0,21669.0
275,2003 to 2004,Mining,0.0,0.0,0.0,0.0,1.0
276,2003 to 2004,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
277,2003 to 2004,Natural Forest,20815.0,0.0,20815.0,21185.0,692.0
278,2003 to 2004,Non Observed,3.0,3.0,0.0,14.0,6.0
279,2003 to 2004,Other Non Vegetated Area,1970.0,0.0,1970.0,4300.0,2162.0
280,2003 to 2004,Pasture,0.0,0.0,0.0,0.0,0.0
281,2003 to 2004,"River, Lake and Ocean",11697.0,0.0,11697.0,3167.0,5.0
282,2003 to 2004,Rocky outcrop,448.0,448.0,0.0,35.0,-0.0
283,2003 to 2004,Urban Infrastructure,303.0,303.0,0.0,3.0,0.0
284,2003 to 2004,Wetland,4799.0,0.0,4799.0,834.0,413.0
285,2004 to 2005,Agriculture,51486.0,51486.0,0.0,117350.0,1476.0
286,2004 to 2005,Aquaculture,1.0,1.0,0.0,0.0,1.0
287,2004 to 2005,Beach and Dune,125.0,125.0,0.0,342.0,135.0
288,2004 to 2005,Forest Plantation,4674.0,4674.0,0.0,735.0,1.0
289,2004 to 2005,Grassland,71176.0,0.0,71176.0,118394.0,674.0
290,2004 to 2005,Mining,3.0,3.0,0.0,1.0,2.0
291,2004 to 2005,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
292,2004 to 2005,Natural Forest,13699.0,13699.0,0.0,19123.0,2810.0
293,2004 to 2005,Non Observed,4.0,4.0,0.0,14.0,4.0
294,2004 to 2005,Other Non Vegetated Area,2945.0,2945.0,0.0,2572.0,204.0
295,2004 to 2005,Pasture,0.0,0.0,0.0,0.0,0.0
296,2004 to 2005,"River, Lake and Ocean",1282.0,0.0,1282.0,2808.0,325.0
297,2004 to 2005,Rocky outcrop,17.0,0.0,17.0,57.0,12.0
298,2004 to 2005,Urban Infrastructure,440.0,440.0,0.0,2.0,0.0
299,2004 to 2005,Wetland,904.0,0.0,904.0,979.0,37.0
300,2005 to 2006,Agriculture,76507.0,0.0,76507.0,166312.0,1586.0
301,2005 to 2006,Aquaculture,0.0,0.0,0.0,0.0,0.0
302,2005 to 2006,Beach and Dune,169.0,0.0,169.0,181.0,62.0
303,2005 to 2006,Forest Plantation,8083.0,8083.0,0.0,1858.0,2.0
304,2005 to 2006,Grassland,60237.0,60237.0,0.0,158978.0,17375.0
305,2005 to 2006,Mining,1.0,1.0,0.0,0.0,1.0
306,2005 to 2006,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
307,2005 to 2006,Natural Forest,6890.0,6890.0,0.0,25239.0,2666.0
308,2005 to 2006,Non Observed,0.0,0.0,0.0,9.0,6.0
309,2005 to 2006,Other Non Vegetated Area,1247.0,1247.0,0.0,3261.0,1494.0
310,2005 to 2006,Pasture,0.0,0.0,0.0,0.0,0.0
311,2005 to 2006,"River, Lake and Ocean",1250.0,0.0,1250.0,3816.0,413.0
312,2005 to 2006,Rocky outcrop,89.0,0.0,89.0,105.0,1.0
313,2005 to 2006,Urban Infrastructure,255.0,255.0,0.0,1.0,2.0
314,2005 to 2006,Wetland,1303.0,1303.0,0.0,920.0,8.0
315,2006 to 2007,Agriculture,45686.0,0.0,45686.0,94471.0,32.0
316,2006 to 2007,Aquaculture,0.0,0.0,0.0,0.0,0.0
317,2006 to 2007,Beach and Dune,20.0,20.0,0.0,229.0,80.0
318,2006 to 2007,Forest Plantation,9951.0,9951.0,0.0,474.0,5.0
319,2006 to 2007,Grassland,21020.0,0.0,21020.0,90351.0,39307.0
320,2006 to 2007,Mining,3.0,3.0,0.0,0.0,2.0
321,2006 to 2007,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
322,2006 to 2007,Natural Forest,48152.0,48152.0,0.0,13210.0,2913.0
323,2006 to 2007,Non Observed,13.0,0.0,13.0,18.0,8.0
324,2006 to 2007,Other Non Vegetated Area,214.0,214.0,0.0,3856.0,626.0
325,2006 to 2007,Pasture,0.0,0.0,0.0,0.0,0.0
326,2006 to 2007,"River, Lake and Ocean",6071.0,6071.0,0.0,2724.0,283.0
327,2006 to 2007,Rocky outcrop,280.0,0.0,280.0,10.0,1.0
328,2006 to 2007,Urban Infrastructure,380.0,380.0,0.0,3.0,0.0
329,2006 to 2007,Wetland,2210.0,2210.0,0.0,1099.0,216.0
330,2007 to 2008,Agriculture,172450.0,172450.0,0.0,112856.0,2088.0
331,2007 to 2008,Aquaculture,7.0,0.0,7.0,0.0,0.0
332,2007 to 2008,Beach and Dune,271.0,0.0,271.0,118.0,20.0
333,2007 to 2008,Forest Plantation,19492.0,19492.0,0.0,969.0,1.0
334,2007 to 2008,Grassland,178922.0,0.0,178922.0,119959.0,1289.0
335,2007 to 2008,Mining,14.0,0.0,14.0,0.0,1.0
336,2007 to 2008,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
337,2007 to 2008,Natural Forest,5148.0,0.0,5148.0,22463.0,16789.0
338,2007 to 2008,Non Observed,1.0,1.0,0.0,9.0,5.0
339,2007 to 2008,Other Non Vegetated Area,9.0,9.0,0.0,4297.0,570.0
340,2007 to 2008,Pasture,0.0,0.0,0.0,0.0,0.0
341,2007 to 2008,"River, Lake and Ocean",7094.0,0.0,7094.0,4460.0,124.0
342,2007 to 2008,Rocky outcrop,204.0,204.0,0.0,12.0,3.0
343,2007 to 2008,Urban Infrastructure,1.0,0.0,1.0,3.0,1.0
344,2007 to 2008,Wetland,698.0,0.0,698.0,953.0,363.0
345,2008 to 2009,Agriculture,26154.0,26154.0,0.0,123897.0,5916.0
346,2008 to 2009,Aquaculture,3.0,3.0,0.0,0.0,0.0
347,2008 to 2009,Beach and Dune,496.0,0.0,496.0,202.0,40.0
348,2008 to 2009,Forest Plantation,12662.0,12662.0,0.0,927.0,4.0
349,2008 to 2009,Grassland,53074.0,0.0,53074.0,123496.0,445.0
350,2008 to 2009,Mining,2.0,0.0,2.0,1.0,4.0
351,2008 to 2009,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,0.0,0.0
