,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
198,1996 to 1997,Pasture,127791.0,0.0,127791.0,246700.0,40703.0
199,1996 to 1997,"River, Lake and Ocean",3523.0,3523.0,0.0,678.0,208.0
200,1996 to 1997,Rocky outcrop,139.0,139.0,0.0,925.0,143.0
201,1996 to 1997,Salt flat,50.0,50.0,0.0,64.0,1.0
202,1996 to 1997,Urban Infrastructure,10258.0,10258.0,0.0,112.0,1.0
203,1996 to 1997,Wetland,5399.0,5399.0,0.0,4904.0,1335.0
204,1997 to 1998,Agriculture,44473.0,44473.0,0.0,115547.0,43902.0
205,1997 to 1998,Aquaculture,1446.0,0.0,1446.0,11.0,4.0
206,1997 to 1998,Beach and Dune,486.0,0.0,486.0,281.0,23.0
207,1997 to 1998,Forest Plantation,13205.0,13205.0,0.0,8493.0,795.0
208,1997 to 1998,Grassland,10086.0,0.0,10086.0,4706.0,20.0
209,1997 to 1998,Mining,0.0,0.0,0.0,14.0,6.0
210,1997 to 1998,Mosaic of Agriculture and Pasture,135831.0,135831.0,0.0,406455.0,103559.0
211,1997 to 1998,Natural Forest,62473.0,0.0,62473.0,140184.0,2913.0
212,1997 to 1998,Non Observed,7.0,0.0,7.0,91.0,14.0
213,1997 to 1998,Other Non Forest Natural Formation,32.0,0.0,32.0,2454.0,410.0
214,1997 to 1998,Other Non Vegetated Area,969.0,0.0,969.0,6587.0,2135.0
215,1997 to 1998,Pasture,138666.0,0.0,138666.0,271934.0,49674.0
216,1997 to 1998,"River, Lake and Ocean",8788.0,8788.0,0.0,1046.0,130.0
217,1997 to 1998,Rocky outcrop,246.0,0.0,246.0,999.0,51.0
218,1997 to 1998,Salt flat,89.0,89.0,0.0,52.0,5.0
219,1997 to 1998,Urban Infrastructure,8741.0,8741.0,0.0,50.0,7.0
220,1997 to 1998,Wetland,3282.0,3282.0,0.0,6242.0,4963.0
221,1998 to 1999,Agriculture,130223.0,130223.0,0.0,237934.0,81072.0
222,1998 to 1999,Aquaculture,125.0,125.0,0.0,31.0,0.0
223,1998 to 1999,Beach and Dune,169.0,0.0,169.0,245.0,26.0
224,1998 to 1999,Forest Plantation,30456.0,30456.0,0.0,10031.0,85.0
225,1998 to 1999,Grassland,9994.0,0.0,9994.0,4774.0,-0.0
226,1998 to 1999,Mining,0.0,0.0,0.0,11.0,6.0
227,1998 to 1999,Mosaic of Agriculture and Pasture,91794.0,0.0,91794.0,509524.0,160170.0
228,1998 to 1999,Natural Forest,79116.0,0.0,79116.0,146066.0,2933.0
229,1998 to 1999,Non Observed,5.0,0.0,5.0,82.0,8.0
230,1998 to 1999,Other Non Forest Natural Formation,384.0,384.0,0.0,2137.0,1181.0
231,1998 to 1999,Other Non Vegetated Area,1162.0,0.0,1162.0,7394.0,1919.0
232,1998 to 1999,Pasture,57220.0,0.0,57220.0,256281.0,92596.0
233,1998 to 1999,"River, Lake and Ocean",85867.0,85867.0,0.0,1899.0,133.0
234,1998 to 1999,Rocky outcrop,1941.0,1941.0,0.0,670.0,58.0
235,1998 to 1999,Salt flat,29.0,0.0,29.0,50.0,17.0
236,1998 to 1999,Urban Infrastructure,24241.0,24241.0,0.0,49.0,2.0
237,1998 to 1999,Wetland,33750.0,0.0,33750.0,6543.0,7286.0
238,1999 to 2000,Agriculture,234696.0,234696.0,0.0,143394.0,13173.0
239,1999 to 2000,Aquaculture,2351.0,2351.0,0.0,16.0,0.0
240,1999 to 2000,Beach and Dune,603.0,0.0,603.0,292.0,101.0
241,1999 to 2000,Forest Plantation,16763.0,16763.0,0.0,9295.0,35.0
242,1999 to 2000,Grassland,13168.0,0.0,13168.0,3919.0,-0.0
243,1999 to 2000,Mining,8.0,8.0,0.0,14.0,7.0
244,1999 to 2000,Mosaic of Agriculture and Pasture,137693.0,0.0,137693.0,417067.0,125126.0
245,1999 to 2000,Natural Forest,80810.0,0.0,80810.0,128800.0,1863.0
246,1999 to 2000,Non Observed,16.0,16.0,0.0,104.0,12.0
247,1999 to 2000,Other Non Forest Natural Formation,347.0,347.0,0.0,2408.0,774.0
248,1999 to 2000,Other Non Vegetated Area,1632.0,0.0,1632.0,5240.0,2300.0
249,1999 to 2000,Pasture,42627.0,0.0,42627.0,317207.0,36429.0
250,1999 to 2000,"River, Lake and Ocean",11258.0,11258.0,0.0,1969.0,2328.0
251,1999 to 2000,Rocky outcrop,823.0,823.0,0.0,827.0,41.0
252,1999 to 2000,Salt flat,90.0,0.0,90.0,63.0,9.0
253,1999 to 2000,Urban Infrastructure,16359.0,16359.0,0.0,71.0,21.0
254,1999 to 2000,Wetland,5997.0,0.0,5997.0,6022.0,1154.0
255,2000 to 2001,Agriculture,195817.0,195817.0,0.0,193547.0,29747.0
256,2000 to 2001,Aquaculture,659.0,659.0,0.0,4.0,0.0
257,2000 to 2001,Beach and Dune,338.0,0.0,338.0,387.0,30.0
258,2000 to 2001,Forest Plantation,16534.0,16534.0,0.0,10454.0,4522.0
259,2000 to 2001,Grassland,6833.0,0.0,6833.0,4819.0,0.0
260,2000 to 2001,Mining,0.0,0.0,0.0,25.0,19.0
261,2000 to 2001,Mosaic of Agriculture and Pasture,5577.0,5577.0,0.0,379506.0,245574.0
262,2000 to 2001,Natural Forest,68552.0,0.0,68552.0,112741.0,3546.0
263,2000 to 2001,Non Observed,3.0,0.0,3.0,123.0,9.0
264,2000 to 2001,Other Non Forest Natural Formation,1609.0,1609.0,0.0,1922.0,243.0
