,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
215,1998 to 1999,Non Observed,1.0,1.0,0.0,6.0,1.0
216,1998 to 1999,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
217,1998 to 1999,Other Non Vegetated Area,7989.0,0.0,7989.0,37365.0,26392.0
218,1998 to 1999,Pasture,396108.0,396108.0,0.0,503464.0,104133.0
219,1998 to 1999,"River, Lake and Ocean",489.0,0.0,489.0,2256.0,2107.0
220,1998 to 1999,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
221,1998 to 1999,Salt flat,11.0,0.0,11.0,43.0,4.0
222,1998 to 1999,Urban Infrastructure,11094.0,11094.0,0.0,9.0,-0.0
223,1998 to 1999,Wetland,0.0,0.0,0.0,0.0,-0.0
224,1999 to 2000,Agriculture,452502.0,452502.0,0.0,296037.0,1252.0
225,1999 to 2000,Beach and Dune,163.0,0.0,163.0,113.0,2.0
226,1999 to 2000,Forest Plantation,7940.0,7940.0,0.0,7061.0,1673.0
227,1999 to 2000,Grassland,64342.0,0.0,64342.0,89450.0,44730.0
228,1999 to 2000,Mining,16.0,16.0,0.0,5.0,2.0
229,1999 to 2000,Mosaic of Agriculture and Pasture,1.0,1.0,0.0,2.0,1.0
230,1999 to 2000,Natural Forest,837917.0,0.0,837917.0,161043.0,615.0
231,1999 to 2000,Non Observed,1.0,1.0,0.0,7.0,3.0
232,1999 to 2000,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,-0.0
233,1999 to 2000,Other Non Vegetated Area,43673.0,43673.0,0.0,57744.0,4911.0
234,1999 to 2000,Pasture,371958.0,371958.0,0.0,438133.0,246893.0
235,1999 to 2000,"River, Lake and Ocean",17759.0,17759.0,0.0,2560.0,814.0
236,1999 to 2000,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
237,1999 to 2000,Salt flat,1285.0,0.0,1285.0,35.0,0.0
238,1999 to 2000,Urban Infrastructure,9856.0,9856.0,0.0,11.0,0.0
239,1999 to 2000,Wetland,0.0,0.0,0.0,0.0,0.0
240,2000 to 2001,Agriculture,354114.0,354114.0,0.0,408156.0,1320.0
241,2000 to 2001,Beach and Dune,188.0,188.0,0.0,142.0,3.0
242,2000 to 2001,Forest Plantation,10385.0,10385.0,0.0,5956.0,2210.0
243,2000 to 2001,Grassland,88745.0,0.0,88745.0,85657.0,34841.0
244,2000 to 2001,Mining,31.0,31.0,0.0,7.0,4.0
245,2000 to 2001,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,2.0
246,2000 to 2001,Natural Forest,676068.0,0.0,676068.0,153939.0,113.0
247,2000 to 2001,Non Observed,3.0,3.0,0.0,6.0,1.0
248,2000 to 2001,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
249,2000 to 2001,Other Non Vegetated Area,60638.0,60638.0,0.0,46558.0,25820.0
250,2000 to 2001,Pasture,330971.0,330971.0,0.0,525684.0,191585.0
251,2000 to 2001,"River, Lake and Ocean",1979.0,1979.0,0.0,2670.0,6113.0
252,2000 to 2001,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
253,2000 to 2001,Salt flat,330.0,0.0,330.0,19.0,1.0
254,2000 to 2001,Urban Infrastructure,6832.0,6832.0,0.0,9.0,0.0
255,2000 to 2001,Wetland,0.0,0.0,0.0,0.0,0.0
256,2001 to 2002,Agriculture,688689.0,688689.0,0.0,239723.0,1042.0
257,2001 to 2002,Beach and Dune,205.0,205.0,0.0,121.0,3.0
258,2001 to 2002,Forest Plantation,20390.0,20390.0,0.0,5425.0,2293.0
259,2001 to 2002,Grassland,98690.0,0.0,98690.0,69479.0,40531.0
260,2001 to 2002,Mining,76.0,76.0,0.0,6.0,3.0
261,2001 to 2002,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,2.0
262,2001 to 2002,Natural Forest,800185.0,0.0,800185.0,121519.0,5.0
263,2001 to 2002,Non Observed,3.0,3.0,0.0,6.0,2.0
264,2001 to 2002,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
265,2001 to 2002,Other Non Vegetated Area,27155.0,0.0,27155.0,29270.0,54586.0
266,2001 to 2002,Pasture,135632.0,135632.0,0.0,366805.0,439065.0
267,2001 to 2002,"River, Lake and Ocean",75810.0,75810.0,0.0,1285.0,113.0
268,2001 to 2002,Rocky outcrop,0.0,0.0,0.0,0.0,0.0
269,2001 to 2002,Salt flat,187.0,0.0,187.0,19.0,0.0
270,2001 to 2002,Urban Infrastructure,5413.0,5413.0,0.0,10.0,0.0
271,2001 to 2002,Wetland,0.0,0.0,0.0,0.0,0.0
272,2002 to 2003,Agriculture,642912.0,642912.0,0.0,196070.0,733.0
273,2002 to 2003,Beach and Dune,23.0,23.0,0.0,188.0,41.0
274,2002 to 2003,Forest Plantation,27890.0,27890.0,0.0,6831.0,2047.0
275,2002 to 2003,Grassland,80874.0,0.0,80874.0,82561.0,43931.0
276,2002 to 2003,Mining,53.0,53.0,0.0,8.0,7.0
277,2002 to 2003,Mosaic of Agriculture and Pasture,0.0,0.0,0.0,1.0,3.0
278,2002 to 2003,Natural Forest,1039232.0,0.0,1039232.0,154889.0,0.0
279,2002 to 2003,Non Observed,3.0,3.0,0.0,7.0,4.0
280,2002 to 2003,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
281,2002 to 2003,Other Non Vegetated Area,83175.0,83175.0,0.0,40851.0,28877.0
282,2002 to 2003,Pasture,350670.0,350670.0,0.0,374466.0,411860.0
