,Year,Category,Quantity,Miss,FalseAlarm,Exchange,Shift
168,1995 to 1996,Non Observed,62.0,62.0,0.0,93.0,7.0
169,1995 to 1996,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
170,1995 to 1996,Other Non Vegetated Area,13601.0,0.0,13601.0,6156.0,577.0
171,1995 to 1996,Pasture,101707.0,101707.0,0.0,306419.0,7984.0
172,1995 to 1996,"River, Lake and Ocean",287.0,287.0,0.0,14133.0,4242.0
173,1995 to 1996,Rocky outcrop,19732.0,0.0,19732.0,7222.0,0.0
174,1995 to 1996,Salt flat,115.0,0.0,115.0,55.0,31.0
175,1995 to 1996,Urban Infrastructure,2088.0,2088.0,0.0,10.0,0.0
176,1996 to 1997,Agriculture,14021.0,14021.0,0.0,11724.0,3731.0
177,1996 to 1997,Aquaculture,212.0,212.0,0.0,79.0,23.0
178,1996 to 1997,Beach and Dune,583.0,583.0,0.0,442.0,118.0
179,1996 to 1997,Forest Plantation,0.0,0.0,0.0,4.0,0.0
180,1996 to 1997,Grassland,37658.0,0.0,37658.0,61175.0,1740.0
181,1996 to 1997,Mining,4.0,4.0,0.0,1.0,0.0
182,1996 to 1997,Mosaic of Agriculture and Pasture,73013.0,73013.0,0.0,351943.0,74476.0
183,1996 to 1997,Natural Forest,130472.0,0.0,130472.0,438507.0,21886.0
184,1996 to 1997,Non Observed,37.0,0.0,37.0,32.0,3.0
185,1996 to 1997,Other Non Forest Natural Formation,0.0,0.0,0.0,0.0,0.0
186,1996 to 1997,Other Non Vegetated Area,11354.0,0.0,11354.0,4847.0,995.0
187,1996 to 1997,Pasture,67186.0,67186.0,0.0,344846.0,21718.0
188,1996 to 1997,"River, Lake and Ocean",26680.0,26680.0,0.0,13327.0,133.0
189,1996 to 1997,Rocky outcrop,3918.0,0.0,3918.0,5654.0,0.0
190,1996 to 1997,Salt flat,73.0,0.0,73.0,102.0,2.0
191,1996 to 1997,Urban Infrastructure,1813.0,1813.0,0.0,20.0,0.0
192,1997 to 1998,Agriculture,15192.0,15192.0,0.0,13700.0,3426.0
193,1997 to 1998,Aquaculture,1033.0,0.0,1033.0,206.0,-0.0
194,1997 to 1998,Beach and Dune,375.0,0.0,375.0,319.0,98.0
